id,target
0,0.02905
1,0.04682
2,0.03053
3,0.02378
4,0.01796
5,0.03749
6,0.03710
8,0.01973
10,0.06275
11,0.01908
12,0.02457
14,0.02040
15,0.05039
18,0.03194
21,0.04479
23,0.04185
24,0.03090
25,0.03521
27,0.04612
29,0.04678
30,0.03156
31,0.03292
32,0.04127
33,0.03575
37,0.02280
38,0.04378
39,0.13732
40,0.03698
41,0.03661
42,0.03221
44,0.03260
45,0.03473
47,0.04485
49,0.03280
51,0.02404
52,0.01884
53,0.03588
54,0.10509
55,0.02620
56,0.02007
57,0.05871
59,0.03800
60,0.05924
62,0.03692
63,0.06692
67,0.03207
68,0.01921
69,0.06253
70,0.03792
71,0.04581
73,0.05035
75,0.03178
76,0.02839
81,0.02313
82,0.02938
83,0.03069
86,0.02799
87,0.03857
88,0.01695
91,0.03350
92,0.03826
94,0.01911
97,0.03412
100,0.03360
102,0.03565
103,0.02919
105,0.03498
106,0.04327
108,0.03779
113,0.06464
114,0.02585
115,0.03093
118,0.06963
122,0.01870
124,0.04220
126,0.03412
128,0.03756
129,0.04648
130,0.05333
131,0.04989
132,0.04266
133,0.02885
134,0.04146
135,0.05025
136,0.02290
139,0.02740
140,0.03241
141,0.08173
146,0.02297
148,0.03025
151,0.02278
152,0.04313
154,0.02536
157,0.03218
158,0.01863
159,0.05631
161,0.03777
164,0.03009
165,0.06696
167,0.02460
168,0.03407
169,0.03153
171,0.02923
172,0.06142
173,0.02303
174,0.03649
175,0.04236
176,0.03371
178,0.03423
179,0.03224
180,0.02595
181,0.01956
182,0.06457
183,0.03715
184,0.03944
185,0.04166
187,0.01860
188,0.02076
190,0.01662
191,0.02189
192,0.04352
195,0.04487
196,0.03628
198,0.05490
201,0.03153
202,0.03946
203,0.02505
204,0.01428
207,0.03426
213,0.03571
219,0.02523
220,0.02436
222,0.04826
226,0.02050
228,0.06388
230,0.04561
231,0.02926
232,0.03641
233,0.04297
234,0.01929
236,0.06828
237,0.02634
238,0.04678
240,0.03242
241,0.02276
242,0.05074
243,0.04133
245,0.03055
246,0.07450
247,0.02835
249,0.08748
250,0.03595
251,0.01883
252,0.02736
253,0.01653
254,0.06280
255,0.07043
256,0.03503
257,0.02492
258,0.03908
259,0.04764
260,0.01674
262,0.02135
267,0.02941
268,0.02670
270,0.02212
272,0.04697
273,0.02270
274,0.03562
275,0.04029
276,0.03063
277,0.02783
278,0.05892
279,0.04773
281,0.04088
282,0.02845
283,0.03345
287,0.03723
288,0.04853
289,0.04307
290,0.02115
291,0.03826
292,0.06560
293,0.04159
294,0.02463
295,0.01910
296,0.10801
297,0.02321
298,0.03765
299,0.04191
300,0.05096
303,0.04944
304,0.04342
308,0.02536
314,0.06769
315,0.03115
317,0.03432
318,0.06877
320,0.08054
322,0.04125
323,0.03413
327,0.04034
329,0.05228
331,0.02498
332,0.10729
333,0.04446
334,0.01592
335,0.02412
336,0.04933
337,0.03610
341,0.04796
343,0.02770
345,0.05441
347,0.02542
348,0.03619
349,0.02878
352,0.02858
353,0.01582
354,0.05442
355,0.03047
356,0.04080
357,0.02344
358,0.02991
359,0.02544
361,0.04358
362,0.03493
365,0.04082
366,0.05036
368,0.04767
369,0.02366
371,0.02315
373,0.04020
376,0.05890
377,0.03185
379,0.05006
381,0.03105
382,0.03641
383,0.02927
384,0.03353
385,0.04486
386,0.04849
387,0.02475
388,0.07072
390,0.04181
391,0.02891
392,0.05491
393,0.04074
394,0.03103
396,0.03604
400,0.02947
402,0.04875
403,0.02921
405,0.03105
407,0.04263
409,0.05405
411,0.02672
412,0.01730
414,0.10109
415,0.03201
416,0.02035
418,0.03271
