id,target
0,0.02416
1,0.04738
2,0.04816
3,0.01813
4,0.04224
5,0.01322
6,0.03777
8,0.01926
10,0.07188
11,0.05929
12,0.02557
14,0.02404
15,0.04871
18,0.05652
21,0.04310
23,0.03621
24,0.04102
25,0.03041
27,0.05406
29,0.06351
30,0.03174
31,0.05763
32,0.05802
33,0.02505
37,0.04170
38,0.02998
39,0.02806
40,0.02306
41,0.02794
42,0.02439
44,0.04449
45,0.02276
47,0.03371
49,0.01804
51,0.04802
52,0.01532
53,0.03660
54,0.14596
55,0.03037
56,0.03803
57,0.13151
59,0.05318
60,0.04793
62,0.02474
63,0.10405
67,0.05571
68,0.01526
69,0.07309
70,0.03493
71,0.04658
73,0.06766
75,0.02328
76,0.02355
81,0.01405
82,0.03458
83,0.02609
86,0.02533
87,0.03622
88,0.06417
91,0.04225
92,0.06356
94,0.01569
97,0.03872
100,0.03205
102,0.03382
103,0.03735
105,0.04437
106,0.05330
108,0.02680
113,0.07716
114,0.04524
115,0.02692
118,0.03690
122,0.02115
124,0.04783
126,0.02433
128,0.03915
129,0.04535
130,0.05593
131,0.04551
132,0.06354
133,0.01954
134,0.04397
135,0.05230
136,0.02151
139,0.01333
140,0.02653
141,0.05725
146,0.02175
148,0.03754
151,0.02057
152,0.06799
154,0.03796
157,0.03230
158,0.01851
159,0.06482
161,0.03122
164,0.03680
165,0.06075
167,0.03296
168,0.07280
169,0.02590
171,0.02370
172,0.06589
173,0.01871
174,0.02888
175,0.03868
176,0.02878
178,0.05168
179,0.02776
180,0.01574
181,0.03542
182,0.05935
183,0.03944
184,0.06098
185,0.05960
187,0.02388
188,0.02224
190,0.03746
191,0.04362
192,0.09090
195,0.02725
196,0.05291
198,0.03577
201,0.03182
202,0.03467
203,0.01848
204,0.04330
207,0.02401
213,0.03104
219,0.02156
220,0.02569
222,0.06943
226,0.03512
228,0.10385
230,0.03759
231,0.02276
232,0.03356
233,0.03888
234,0.01916
236,0.02958
237,0.02623
238,0.06280
240,0.03660
241,0.02277
242,0.03478
243,0.07161
245,0.01992
246,0.05448
247,0.01910
249,0.05882
250,0.02705
251,0.02080
252,0.03858
253,0.07148
254,0.03212
255,0.08193
256,0.04096
257,0.02718
258,0.02836
259,0.05543
260,0.02133
262,0.02558
267,0.02554
268,0.01949
270,0.01600
272,0.02938
273,0.02065
274,0.02493
275,0.03477
276,0.03119
277,0.04299
278,0.07554
279,0.03680
281,0.03694
282,0.03909
283,0.03563
287,0.03590
288,0.04986
289,0.04720
290,0.03514
291,0.03884
292,0.09080
293,0.02578
294,0.02863
295,0.02748
296,0.13924
297,0.03051
298,0.04825
299,0.04132
300,0.04558
303,0.05598
304,0.03030
308,0.01609
314,0.06422
315,0.03436
317,0.03451
318,0.06950
320,0.07069
322,0.06208
323,0.02186
327,0.05145
329,0.07488
